"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"OF","Lismore",1,3.94528301886792,3.55521620968491,53,0.39006680918301
"OP","Lismore",1,3.23965517241379,3.55521620968491,58,-0.315561037271122
"BM","Mackay",1,5.38267326732673,3.80608034171559,202,1.57659292561115
"L","Mackay",1,2.71293103448276,3.80608034171559,232,-1.09314930723283
"MF","Mackay",1,3.52873303167421,3.80608034171559,221,-0.277347310041377
"OF","Mackay",1,4.20631313131313,3.80608034171559,198,0.400232789597546
"OP","Mackay",1,3.19975124378109,3.80608034171559,201,-0.606329097934491
"BM","Mildura",1,4.88910891089109,3.92126681048616,101,0.967842100404924
"L","Mildura",1,3.31276595744681,3.92126681048616,141,-0.608500853039356
"MF","Mildura",1,3.8462962962963,3.92126681048616,162,-0.0749705141898684
"OF","Mildura",1,4.1436974789916,3.92126681048616,119,0.222430668505432
"OP","Mildura",1,3.41446540880503,3.92126681048616,159,-0.506801401681133
"BM","Moonee Valley",1,3.98048128342246,3.22060943301933,187,0.759871850403126
"L","Moonee Valley",1,2.58028985507246,3.22060943301933,345,-0.64031957794687
"MF","Moonee Valley",1,3.23661764705882,3.22060943301933,340,0.0160082140394899
"OF","Moonee Valley",1,3.39463601532567,3.22060943301933,261,0.174026582306336
"OP","Moonee Valley",1,2.91102236421725,3.22060943301933,313,-0.309587068802081
"BM","Morphettville",1,4.17653276955603,3.44891552040886,473,0.727617249147163
"L","Morphettville",1,2.74609450337512,3.44891552040886,1037,-0.702821017033742
"MF","Morphettville",1,3.33485600794439,3.44891552040886,1007,-0.114059512464473
"OF","Morphettville",1,3.84260651629073,3.44891552040886,798,0.393690995881865
"OP","Morphettville",1,3.14448780487805,3.44891552040886,1025,-0.304427715530813
"BM","Mortlake",1,4.28,3.83468131868132,10,1.06955455286384
"L","Mortlake",1,3.07692307692308,3.83468131868132,13,-0.924015755938997
"MF","Mortlake",1,4.1,3.83468131868132,13,-0.090221572989505
"OF","Mortlake",1,5.48571428571429,3.83468131868132,7,0.358382575859891
"OP","Mortlake",1,2.23076923076923,3.83468131868132,13,-0.444167040746402
"BM","Moruya",1,4.44857142857143,3.15308196660402,35,1.29548946196741
"L","Moruya",1,2.32931034482759,3.15308196660402,58,-0.823771621776433
"MF","Moruya",1,3.32857142857143,3.15308196660402,49,0.175489461967409
"OF","Moruya",1,3.28918918918919,3.15308196660402,37,0.13610722258517
"OP","Moruya",1,2.36976744186047,3.15308196660402,43,-0.783314524743554
"BM","Mount Barker",1,4.55,3.19488472964944,18,1.06955455286384
"L","Mount Barker",1,2.78484848484848,3.19488472964944,33,-0.410036244800951
"MF","Mount Barker",1,2.61388888888889,3.19488472964944,36,-0.580995840760547
"OF","Mount Barker",1,3.19333333333333,3.19488472964944,30,-0.00155139631610224
"OP","Mount Barker",1,2.83235294117647,3.19488472964944,34,-0.362531788472965
"BM","Murray Bridge",1,4.11938775510204,3.76290665772609,98,0.356481097375956
"L","Murray Bridge",1,3.21034482758621,3.76290665772609,174,-0.552561830139878
